i,j,freq
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.1
0,7,0.1
0,8,0.0
0,9,0.0
0,10,0.1
0,11,0.0
0,12,0.06
0,13,0.0
0,14,0.04
0,15,0.0
0,16,0.0
0,17,0.0
0,18,0.0
0,19,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.2
1,7,0.14
1,8,0.0
1,9,0.0
1,10,0.08
1,11,0.0
1,12,0.24
1,13,0.0
1,14,0.08
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.54
2,7,0.64
2,8,0.0
2,9,0.0
2,10,0.26
2,11,0.0
2,12,0.64
2,13,0.0
2,14,0.18
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.2
3,7,0.24
3,8,0.0
3,9,0.0
3,10,0.32
3,11,0.0
3,12,0.08
3,13,0.0
3,14,0.08
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
4,4,0.0
4,5,0.0
4,6,0.2
4,7,0.32
4,8,0.0
4,9,0.0
4,10,0.24
4,11,0.0
4,12,0.18
4,13,0.0
4,14,0.14
4,15,0.0
4,16,0.0
4,17,0.0
4,18,0.0
4,19,0.0
5,5,0.0
5,6,0.42
5,7,0.42
5,8,0.0
5,9,0.0
5,10,0.54
5,11,0.0
5,12,0.54
5,13,0.0
5,14,0.52
5,15,0.0
5,16,0.0
5,17,0.0
5,18,0.0
5,19,0.0
6,6,0.54
6,7,0.78
6,8,0.62
6,9,0.84
6,10,0.9
6,11,0.3
6,12,0.82
6,13,0.02
6,14,0.82
6,15,0.5
6,16,0.56
6,17,0.18
6,18,0.12
6,19,0.1
7,7,0.66
7,8,0.6
7,9,0.84
7,10,0.9
7,11,0.22
7,12,0.78
7,13,0.0
7,14,0.82
7,15,0.5
7,16,0.6
7,17,0.16
7,18,0.16
7,19,0.1
8,8,0.0
8,9,0.0
8,10,0.56
8,11,0.0
8,12,0.6
8,13,0.0
8,14,0.54
8,15,0.0
8,16,0.0
8,17,0.0
8,18,0.0
8,19,0.0
9,9,0.0
9,10,0.8
9,11,0.0
9,12,0.68
9,13,0.0
9,14,0.72
9,15,0.0
9,16,0.0
9,17,0.0
9,18,0.0
9,19,0.0
10,10,0.86
10,11,0.22
10,12,0.66
10,13,0.02
10,14,0.88
10,15,0.42
10,16,0.38
10,17,0.16
10,18,0.14
10,19,0.1
11,11,0.0
11,12,0.1
11,13,0.0
11,14,0.32
11,15,0.0
11,16,0.0
11,17,0.0
11,18,0.0
11,19,0.0
12,12,0.42
12,13,0.04
12,14,0.78
12,15,0.4
12,16,0.48
12,17,0.04
12,18,0.08
12,19,0.04
13,13,0.0
13,14,0.04
13,15,0.0
13,16,0.0
13,17,0.0
13,18,0.0
13,19,0.0
14,14,0.6
14,15,0.24
14,16,0.22
14,17,0.06
14,18,0.1
14,19,0.04
15,15,0.0
15,16,0.0
15,17,0.0
15,18,0.0
15,19,0.0
16,16,0.0
16,17,0.0
16,18,0.0
16,19,0.0
17,17,0.0
17,18,0.0
17,19,0.0
18,18,0.0
18,19,0.0
19,19,0.0
