i,j,freq
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.2
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
0,12,0.0
0,13,0.0
0,14,0.44
0,15,0.26
0,16,0.0
0,17,0.3
0,18,0.32
0,19,0.0
1,1,0.0
1,2,0.0
1,3,0.54
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.0
1,13,0.0
1,14,0.34
1,15,0.9
1,16,0.0
1,17,0.54
1,18,0.82
1,19,0.0
2,2,0.0
2,3,0.54
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.52
2,15,0.82
2,16,0.0
2,17,0.28
2,18,0.8
2,19,0.0
3,3,0.94
3,4,0.14
3,5,0.58
3,6,0.3
3,7,0.58
3,8,0.16
3,9,0.36
3,10,0.54
3,11,0.28
3,12,0.54
3,13,0.38
3,14,0.48
3,15,0.86
3,16,0.76
3,17,0.9
3,18,0.96
3,19,0.8
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
4,13,0.0
4,14,0.14
4,15,0.02
4,16,0.0
4,17,0.08
4,18,0.1
4,19,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.0
5,13,0.0
5,14,0.68
5,15,0.52
5,16,0.0
5,17,0.7
5,18,0.72
5,19,0.0
6,6,0.0
6,7,0.0
6,8,0.0
6,9,0.0
6,10,0.0
6,11,0.0
6,12,0.0
6,13,0.0
6,14,0.22
6,15,0.22
6,16,0.0
6,17,0.48
6,18,0.36
6,19,0.0
7,7,0.0
7,8,0.0
7,9,0.0
7,10,0.0
7,11,0.0
7,12,0.0
7,13,0.0
7,14,0.44
7,15,0.34
7,16,0.0
7,17,0.28
7,18,0.48
7,19,0.0
8,8,0.0
8,9,0.0
8,10,0.0
8,11,0.0
8,12,0.0
8,13,0.0
8,14,0.22
8,15,0.4
8,16,0.0
8,17,0.16
8,18,0.4
8,19,0.0
9,9,0.0
9,10,0.0
9,11,0.0
9,12,0.0
9,13,0.0
9,14,0.24
9,15,0.36
9,16,0.0
9,17,0.14
9,18,0.3
9,19,0.0
10,10,0.0
10,11,0.0
10,12,0.0
10,13,0.0
10,14,0.36
10,15,0.7
10,16,0.0
10,17,0.32
10,18,0.7
10,19,0.0
11,11,0.0
11,12,0.0
11,13,0.0
11,14,0.54
11,15,0.6
11,16,0.0
11,17,0.56
11,18,0.68
11,19,0.0
12,12,0.0
12,13,0.0
12,14,0.9
12,15,0.7
12,16,0.0
12,17,0.76
12,18,0.4
12,19,0.0
13,13,0.0
13,14,0.36
13,15,0.44
13,16,0.0
13,17,0.26
13,18,0.24
13,19,0.0
14,14,0.96
14,15,0.96
14,16,0.72
14,17,1.0
14,18,0.54
14,19,0.22
15,15,1.0
15,16,0.66
15,17,1.0
15,18,1.0
15,19,0.34
16,16,0.0
16,17,0.54
16,18,0.34
16,19,0.0
17,17,1.0
17,18,1.0
17,19,0.3
18,18,1.0
18,19,0.4
19,19,0.0
