i,j,freq
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.72
0,11,0.0
0,12,0.82
0,13,0.0
0,14,0.92
0,15,0.0
0,16,0.0
0,17,0.82
0,18,0.88
0,19,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.86
1,11,0.0
1,12,0.92
1,13,0.0
1,14,0.76
1,15,0.0
1,16,0.0
1,17,0.76
1,18,0.84
1,19,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.98
2,11,0.0
2,12,0.98
2,13,0.0
2,14,0.96
2,15,0.0
2,16,0.0
2,17,0.88
2,18,0.92
2,19,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.92
3,11,0.0
3,12,0.98
3,13,0.0
3,14,0.8
3,15,0.0
3,16,0.0
3,17,0.88
3,18,0.9
3,19,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.92
4,11,0.0
4,12,0.86
4,13,0.0
4,14,0.9
4,15,0.0
4,16,0.0
4,17,0.96
4,18,0.88
4,19,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.94
5,11,0.0
5,12,0.86
5,13,0.0
5,14,0.92
5,15,0.0
5,16,0.0
5,17,0.88
5,18,0.88
5,19,0.0
6,6,0.0
6,7,0.0
6,8,0.0
6,9,0.0
6,10,0.86
6,11,0.0
6,12,0.88
6,13,0.0
6,14,0.8
6,15,0.0
6,16,0.0
6,17,0.8
6,18,0.92
6,19,0.0
7,7,0.0
7,8,0.0
7,9,0.0
7,10,0.92
7,11,0.0
7,12,0.94
7,13,0.0
7,14,0.92
7,15,0.0
7,16,0.0
7,17,0.96
7,18,0.88
7,19,0.0
8,8,0.0
8,9,0.0
8,10,0.78
8,11,0.0
8,12,0.8
8,13,0.0
8,14,0.84
8,15,0.0
8,16,0.0
8,17,0.88
8,18,0.82
8,19,0.0
9,9,0.0
9,10,0.94
9,11,0.0
9,12,1.0
9,13,0.0
9,14,1.0
9,15,0.0
9,16,0.0
9,17,0.84
9,18,0.86
9,19,0.0
10,10,0.9
10,11,0.86
10,12,0.98
10,13,0.8
10,14,0.94
10,15,0.86
10,16,0.82
10,17,0.94
10,18,0.92
10,19,0.82
11,11,0.0
11,12,0.92
11,13,0.0
11,14,0.9
11,15,0.0
11,16,0.0
11,17,0.74
11,18,0.86
11,19,0.0
12,12,1.0
12,13,0.8
12,14,0.84
12,15,0.86
12,16,0.82
12,17,1.0
12,18,1.0
12,19,0.96
13,13,0.0
13,14,0.8
13,15,0.0
13,16,0.0
13,17,0.82
13,18,0.92
13,19,0.0
14,14,0.9
14,15,0.84
14,16,0.94
14,17,0.98
14,18,1.0
14,19,0.78
15,15,0.0
15,16,0.0
15,17,0.82
15,18,0.82
15,19,0.0
16,16,0.0
16,17,0.98
16,18,1.0
16,19,0.0
17,17,1.0
17,18,1.0
17,19,0.86
18,18,1.0
18,19,0.92
19,19,0.0
