i,j,freq
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.28
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.54
0,9,0.0
0,10,0.0
0,11,0.0
0,12,0.46
0,13,0.32
0,14,0.0
0,15,0.0
0,16,0.0
0,17,0.0
0,18,0.0
0,19,0.28
1,1,0.0
1,2,0.0
1,3,0.38
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.66
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.44
1,13,0.36
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.36
2,2,0.0
2,3,0.14
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.4
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.16
2,13,0.32
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.36
3,3,0.42
3,4,0.2
3,5,0.14
3,6,0.24
3,7,0.14
3,8,0.78
3,9,0.7
3,10,0.88
3,11,0.52
3,12,0.86
3,13,0.82
3,14,0.42
3,15,0.52
3,16,0.24
3,17,0.3
3,18,0.24
3,19,0.8
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.5
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.44
4,13,0.34
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.0
4,18,0.0
4,19,0.3
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.26
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.26
5,13,0.16
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.0
5,18,0.0
5,19,0.22
6,6,0.0
6,7,0.0
6,8,0.52
6,9,0.0
6,10,0.0
6,11,0.0
6,12,0.54
6,13,0.42
6,14,0.0
6,15,0.0
6,16,0.0
6,17,0.0
6,18,0.0
6,19,0.54
7,7,0.0
7,8,0.2
7,9,0.0
7,10,0.0
7,11,0.0
7,12,0.16
7,13,0.06
7,14,0.0
7,15,0.0
7,16,0.0
7,17,0.0
7,18,0.0
7,19,0.14
8,8,0.36
8,9,0.34
8,10,0.6
8,11,0.46
8,12,0.3
8,13,0.32
8,14,0.18
8,15,0.18
8,16,0.3
8,17,0.14
8,18,0.12
8,19,0.58
9,9,0.0
9,10,0.0
9,11,0.0
9,12,0.48
9,13,0.44
9,14,0.0
9,15,0.0
9,16,0.0
9,17,0.0
9,18,0.0
9,19,0.52
10,10,0.0
10,11,0.0
10,12,0.82
10,13,0.82
10,14,0.0
10,15,0.0
10,16,0.0
10,17,0.0
10,18,0.0
10,19,0.26
11,11,0.0
11,12,0.82
11,13,0.82
11,14,0.0
11,15,0.0
11,16,0.0
11,17,0.0
11,18,0.0
11,19,0.46
12,12,0.88
12,13,0.9
12,14,0.5
12,15,0.66
12,16,0.54
12,17,0.26
12,18,0.12
12,19,0.56
13,13,0.88
13,14,0.52
13,15,0.68
13,16,0.54
13,17,0.06
13,18,0.36
13,19,0.84
14,14,0.0
14,15,0.0
14,16,0.0
14,17,0.0
14,18,0.0
14,19,0.5
15,15,0.0
15,16,0.0
15,17,0.0
15,18,0.0
15,19,0.42
16,16,0.0
16,17,0.0
16,18,0.0
16,19,0.28
17,17,0.0
17,18,0.0
17,19,0.34
18,18,0.0
18,19,0.52
19,19,0.7
