i,j,freq
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.1
0,11,0.0
0,12,0.08
0,13,0.0
0,14,0.32
0,15,0.0
0,16,0.0
0,17,0.18
0,18,0.18
0,19,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.22
1,11,0.0
1,12,0.4
1,13,0.0
1,14,0.2
1,15,0.0
1,16,0.0
1,17,0.18
1,18,0.18
1,19,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.66
2,11,0.0
2,12,0.74
2,13,0.0
2,14,0.48
2,15,0.0
2,16,0.0
2,17,0.38
2,18,0.56
2,19,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.56
3,11,0.0
3,12,0.54
3,13,0.0
3,14,0.3
3,15,0.0
3,16,0.0
3,17,0.28
3,18,0.24
3,19,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.26
4,11,0.0
4,12,0.44
4,13,0.0
4,14,0.46
4,15,0.0
4,16,0.0
4,17,0.4
4,18,0.4
4,19,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.34
5,11,0.0
5,12,0.34
5,13,0.0
5,14,0.34
5,15,0.0
5,16,0.0
5,17,0.22
5,18,0.2
5,19,0.0
6,6,0.0
6,7,0.0
6,8,0.0
6,9,0.0
6,10,0.14
6,11,0.0
6,12,0.16
6,13,0.0
6,14,0.24
6,15,0.0
6,16,0.0
6,17,0.24
6,18,0.2
6,19,0.0
7,7,0.0
7,8,0.0
7,9,0.0
7,10,0.34
7,11,0.0
7,12,0.76
7,13,0.0
7,14,0.68
7,15,0.0
7,16,0.0
7,17,0.76
7,18,0.68
7,19,0.0
8,8,0.0
8,9,0.0
8,10,0.22
8,11,0.0
8,12,0.14
8,13,0.0
8,14,0.22
8,15,0.0
8,16,0.0
8,17,0.32
8,18,0.3
8,19,0.0
9,9,0.0
9,10,0.36
9,11,0.0
9,12,0.74
9,13,0.0
9,14,0.64
9,15,0.0
9,16,0.0
9,17,0.36
9,18,0.5
9,19,0.0
10,10,0.28
10,11,0.18
10,12,0.64
10,13,0.1
10,14,0.46
10,15,0.3
10,16,0.16
10,17,0.7
10,18,0.7
10,19,0.24
11,11,0.0
11,12,0.4
11,13,0.0
11,14,0.44
11,15,0.0
11,16,0.0
11,17,0.2
11,18,0.4
11,19,0.0
12,12,0.86
12,13,0.06
12,14,0.32
12,15,0.44
12,16,0.28
12,17,0.98
12,18,1.0
12,19,0.62
13,13,0.0
13,14,0.12
13,15,0.0
13,16,0.0
13,17,0.1
13,18,0.2
13,19,0.0
14,14,0.46
14,15,0.26
14,16,0.52
14,17,0.86
14,18,0.56
14,19,0.16
15,15,0.0
15,16,0.0
15,17,0.3
15,18,0.16
15,19,0.0
16,16,0.0
16,17,0.74
16,18,0.74
16,19,0.0
17,17,1.0
17,18,1.0
17,19,0.52
18,18,1.0
18,19,0.22
19,19,0.0
